iter	Passed	Remaining
534	28702	24946
535	28760	24897
536	28817	24846
537	28868	24790
538	28920	24735
539	28973	24680
540	29025	24626
541	29075	24569
542	29128	24515
543	29179	24459
544	29231	24404
545	29288	24353
546	29339	24297
547	29390	24241
548	29444	24188
549	29495	24132
550	29546	24076
551	29599	24022
552	29652	23968
553	29705	23914
554	29758	23860
555	29810	23805
556	29860	23748
557	29916	23696
558	29969	23642
559	30025	23591
560	30078	23537
561	30133	23484
562	30189	23433
563	30246	23382
564	30299	23327
565	30348	23270
566	30403	23218
567	30454	23162
568	30506	23108
569	30558	23052
570	30613	23000
571	30661	22942
572	30715	22888
573	30767	22834
574	30819	22779
575	30870	22724
576	30923	22669
577	30974	22614
578	31027	22560
579	31079	22505
580	31131	22451
581	31184	22396
582	31237	22342
583	31290	22289
584	31341	22233
585	31392	22178
586	31447	22125
587	31501	22072
588	31551	22016
589	31605	21962
590	31659	21910
591	31711	21855
592	31763	21800
593	31817	21747
594	31869	21692
595	31922	21638
596	31975	21584
597	32030	21532
598	32085	21479
599	32137	21424
600	32189	21370
601	32244	21317
602	32298	21264
603	32356	21213
604	32414	21162
605	32469	21110
606	32522	21056
607	32574	21001
608	32629	20949
609	32685	20897
610	32745	20847
611	32802	20796
612	32853	20740
613	32906	20687
614	32958	20632
615	33010	20578
616	33061	20522
617	33113	20468
618	33164	20413
619	33217	20358
620	33269	20304
621	33320	20249
622	33369	20193
623	33421	20138
624	33476	20085
625	33528	20031
626	33581	19977
627	33632	19922
628	33681	19866
629	33735	19812
630	33787	19758
631	33837	19702
632	33890	19649
633	33941	19593
634	33993	19539
635	34045	19484
636	34093	19428
637	34143	19373
638	34195	19318
639	34248	19264
640	34296	19208
641	34348	19154
642	34407	19103
643	34463	19051
644	34520	18999
645	34573	18945
646	34627	18892
647	34675	18836
648	34727	18781
649	34775	18725
650	34828	18671
651	34879	18616
652	34932	18562
653	34983	18508
654	35038	18455
655	35090	18400
656	35141	18346
657	35193	18292
658	35246	18238
659	35294	18182
660	35348	18128
661	35400	18074
662	35453	18020
663	35501	17964
664	35550	17908
665	35600	17853
666	35651	17799
667	35701	17744
668	35751	17688
669	35805	17635
670	35855	17580
671	35908	17526
672	35960	17472
673	36012	17418
674	36066	17365
675	36119	17311
676	36169	17256
677	36221	17202
678	36273	17148
679	36326	17094
680	36374	17038
681	36429	16986
682	36480	16931
683	36528	16875
684	36578	16820
685	36630	16766
686	36682	16712
687	36733	16658
688	36785	16604
689	36836	16549
690	36887	16495
691	36935	16439
692	36988	16385
693	37037	16330
694	37087	16275
695	37137	16220
696	37190	16167
697	37242	16113
698	37292	16058
699	37345	16005
700	37399	15952
701	37450	15897
702	37503	15844
703	37555	15790
704	37607	15736
705	37658	15682
706	37710	15628
707	37762	15574
708	37818	15522
709	37873	15469
710	37927	15416
711	37982	15363
712	38034	15309
713	38086	15256
714	38138	15202
715	38190	15148
716	38239	15092
717	38290	15038
718	38341	14984
